CASE_NO,IEOK_01,ACCD_TP,Year,x_coord,y_coord
C5117957,10109010452,3,101,302570.4158,2774497.941
C5116198,10105091320,2,101,302561.3156,2774498.941
C5107373,10105082210,2,101,302566.9157,2774498.941
CG133097,10108261950,2,101,309495.4231,2774502.986
CG136273,10111071500,3,101,309497.5231,2774502.986
CG137095,10112280730,3,101,309492.323,2774503.986
CG131900,10107122240,2,101,308300.2046,2774514.978
C7140581,10109301415,2,101,303299.4272,2774521.946
C7142372,10112132140,2,101,305492.2612,2774521.96
C7137548,10107211508,3,101,303298.9272,2774522.946
C7141155,10111201210,2,101,303303.5273,2774522.946
C7135487,10102081858,3,101,305452.0606,2774528.96
C7137566,10108061732,3,101,305236.5573,2774531.959
C7141004,10111081733,3,101,305537.162,2774531.961
CG133346,10108141635,3,101,308115.1019,2774532.977
C7142605,10112130910,3,101,303350.5281,2774534.946
C7138444,10110040810,2,101,303350.2281,2774536.946
C7131713,10104261200,3,101,303350.0281,2774537.946
C7134875,10101051600,3,101,305428.1603,2774541.96
C7132196,10103311208,3,101,305418.2289,2774543.71
C7131415,10104152135,3,101,305011.3539,2774543.957
C7140942,10111201225,3,101,305008.0538,2774544.957
CG135895,10112141911,2,101,308652.4103,2774545.981
CG130457,10106101430,3,101,308733.9116,2774547.982
CG131720,10107171536,2,101,307214.088,2774549.972
CG130192,10103171330,2,101,308288.6196,2774553.385
CG129960,10103291005,2,101,308288.7022,2774556.304
C7138363,10108241733,2,101,303777.2349,2774558.95
C7138424,10109061912,3,101,303777.2349,2774559.95
CG136822,10112191455,2,101,307149.2871,2774561.972
C7132854,10105050942,3,101,305547.7623,2774562.961
CG134630,10110251600,2,101,307185.8877,2774562.972
CG136401,10112180945,3,101,308135.0024,2774562.978
C7131359,10103191730,3,101,305663.2016,2774563.462
C7132762,10105301618,2,101,303777.7349,2774563.95
CG135383,10110171245,3,101,308462.6075,2774568.98
CG132332,10106081335,2,101,308629.3101,2774568.981
CG128193,10103281650,3,101,309579.2623,2774570.488
CG128999,10109132125,3,101,309615.8254,2774574.988
CG128555,10102081342,3,101,309611.6254,2774576.988
CG131298,10105042013,2,101,308546.1089,2774577.981
CG134329,10110090720,2,101,309580.6249,2774577.988
CG128512,10101071050,2,101,308032.9009,2774580.978
CG131363,10105131457,3,101,308038.101,2774580.978
CG132402,10107131550,3,101,308454.4075,2774581.98
CG129531,10103161900,2,101,308030.365,2774582.364
CC134174,10110121755,3,101,302617.2171,2774582.942
CG129871,10103271515,2,101,308034.0998,2774583.121
C7136869,10102251837,3,101,305063.155,2774583.958
CG135004,10110141450,2,101,308043.6011,2774584.978
CG128793,10102022005,2,101,308025.3008,2774585.978
CG130771,10105090828,2,101,308030.9009,2774585.978
CG133282,10108151650,2,101,308857.1137,2774585.983
C7135605,10101181205,2,101,303455.5301,2774586.948
CG132562,10108041510,3,101,308028.1009,2774586.978
C7142722,10112241450,3,101,305056.1549,2774587.958
CG136304,10112262103,3,101,308032.301,2774588.978
CG124629,10111021830,3,101,309510.0239,2774588.987
CG133999,10110012134,2,101,308419.907,2774590.98
CG128036,10101121659,2,101,307371.5908,2774594.974
CG130212,10104101830,3,101,307445.5919,2774594.974
CG129562,10104061520,3,101,308359.0061,2774594.98
CG128032,10101050930,2,101,308623.5102,2774595.982
CG135901,10112041720,3,101,308624.7102,2774595.982
CG135018,10110300930,2,101,310535.5398,2774595.994
CG127652,10101160720,2,101,308628.3103,2774596.982
CG135423,10112122015,3,101,309509.2239,2774596.988
C7131704,10104211000,2,101,304931.253,2774597.958
C7137695,10107030800,2,101,304940.2531,2774597.958
CG130658,10105180445,2,101,308631.8103,2774597.982
C7139101,10108222240,2,101,304936.0531,2774598.958
C7132098,10106110814,3,101,304944.5532,2774598.958
CG129262,10103302030,3,101,308632.3802,2774599.309
C7133275,10106121340,2,101,304933.9531,2774599.958
C7139113,10108291425,3,101,304937.9531,2774599.958
C7133394,10105142204,2,101,305611.7636,2774599.962
CG134806,10110210703,2,101,308203.2037,2774599.979
CG128540,10101310755,2,101,308872.9141,2774600.983
CG131047,10105112225,3,101,310287.336,2774604.993
CG135773,10111192201,2,101,308160.2031,2774610.979
CG129996,10104101105,3,101,308160.9031,2774610.979
CG133014,10107081420,3,101,308487.2082,2774611.981
CG128707,10105090717,2,101,310232.7352,2774611.993
CG129167,10102140935,3,101,308162.2031,2774612.979
CG136301,10112242340,2,101,308489.4082,2774612.981
CG134258,10111011820,2,101,309650.3262,2774612.989
CG128941,10103041715,3,101,308160.8969,2774613.229
CG135956,10111261913,3,101,308158.4031,2774613.979
CG129296,10102092225,3,101,308163.0032,2774613.979
CG129411,10102170945,2,101,308552.3092,2774613.982
CG133890,10110050230,2,101,308566.9094,2774613.982
CG128608,10101191430,3,101,308160.9031,2774614.979
CG131028,10104142140,2,101,308487.1082,2774614.981
CG131187,10105071100,3,101,308488.9082,2774614.981
CG136384,10112050807,3,101,308163.1032,2774615.979
CG133683,10108311544,3,101,308165.2032,2774615.979
CG128187,10103151920,2,101,310250.0543,2774616.493
C7137217,10106091210,3,101,305056.9551,2774616.959
CG132592,10107201020,3,101,308162.3032,2774616.979
CG126441,10101091815,3,101,308163.0032,2774616.979
CG131224,10105131620,3,101,308163.8032,2774616.979
CG135182,10112162245,3,101,309479.1236,2774616.988
CG130121,10103220745,3,101,309474.2488,2774619.604
CG133074,10108120140,2,101,309337.9214,2774620.987
CG136814,10112130900,3,101,309485.1237,2774620.988
CG132939,10108211450,3,101,310363.4373,2774621.994
CG132473,10108041602,3,101,308911.0148,2774623.984
CG129992,10104141200,3,101,309424.6228,2774627.987
CG134663,10111130855,2,101,306930.9842,2774629.971
CG130336,10103082315,2,101,306929.4628,2774630.376
CG132222,10105312213,3,101,306929.2842,2774630.971
CG132655,10107182335,3,101,306932.3842,2774631.971
CG128590,10101121720,3,101,306933.0842,2774631.971
C7139489,10109261836,2,101,306934.9843,2774631.971
CG132596,10107231923,2,101,306930.3842,2774632.971
C7131929,10103281015,3,101,306931.4942,2774633.102
CG130561,10105110818,3,101,306932.8842,2774633.971
CG130812,10104171155,2,101,309452.6233,2774633.988
CG135852,10112171653,2,101,306933.2843,2774634.971
C7141404,10110230835,3,101,306934.8843,2774634.971
CG135189,10112211500,3,101,306935.6843,2774634.971
CG128018,10101261925,3,101,309498.924,2774634.988
CG131853,10106111614,2,101,306939.0843,2774635.971
CG135822,10111192050,2,101,309548.3248,2774636.988
CG127950,10102140600,2,101,309749.9279,2774636.99
CG127959,10102230920,3,101,309749.5279,2774639.99
CG129371,10103092103,3,101,309251.9452,2774640.237
CG130451,10105291610,2,101,309759.1281,2774640.99
C7136882,10103022220,2,101,305072.0055,2774641.459
CC133271,10111230052,2,101,301587.9015,2774641.937
CC134078,10109212300,2,101,301586.7015,2774642.937
CG130207,10103281950,2,101,309424.7916,2774642.988
CG136196,10111251730,2,101,309758.1281,2774642.99
CG131304,10105101810,2,101,309253.2202,2774643.987
CG133206,10108301715,3,101,309753.628,2774645.99
C7131678,10104082114,2,101,305245.8582,2774646.961
CG131629,10106100705,2,101,309749.828,2774647.99
CG128622,10102031510,2,101,307209.5886,2774649.973
CG128759,10101031820,2,101,309755.4281,2774649.99
CC134465,10109270800,3,101,302640.4179,2774651.944
CG128461,10102022020,3,101,307211.4887,2774652.973
CG128524,10101131830,2,101,307857.0987,2774656.978
CG135140,10111061853,2,101,307851.3986,2774657.978
CG134409,10111130758,2,101,307858.5987,2774657.978
CG126488,10103190915,3,101,307207.8021,2774658.522
CG131560,10107011248,3,101,307856.5987,2774658.978
CC128364,10105201045,2,101,301555.5011,2774662.937
CG134513,10109221851,3,101,307232.6891,2774662.974
CG129910,10104221830,3,101,307852.7987,2774662.978
CG133004,10107012135,2,101,309500.3242,2774663.989
CG128254,10101102210,3,101,308945.5156,2774664.985
C7131864,10103291145,2,101,305602.9798,2774665.181
CG129485,10103271135,2,101,308622.279,2774666.116
CG132442,10106121145,3,101,308624.2107,2774666.983
C7137416,10107110216,3,101,305112.2563,2774668.96
C7135156,10101192250,2,101,305600.2638,2774671.963
CG128623,10102031744,3,101,307238.3892,2774675.974
CG131305,10105111530,3,101,307243.3893,2774677.974
C7132610,10105100730,3,101,304761.4509,2774681.958
CG131442,10105191210,2,101,309914.4308,2774687.992
C7133432,10106050842,2,101,304756.1509,2774690.958
C7133621,10105280729,2,101,304586.6483,2774691.957
C7131364,10103222210,2,101,304576.9036,2774693.001
C7134886,10101111130,3,101,305062.8557,2774697.96
C7135318,10101261402,2,101,304973.5543,2774699.96
C7135450,10103022009,2,101,304945.3789,2774701.709
CC132430,10112031940,2,101,302609.2177,2774701.944
C7138455,10110162122,3,101,304581.3483,2774701.957
C7140103,10111120854,2,101,304968.0542,2774701.96
C7138387,10109052100,2,101,304962.5542,2774702.96
CC127071,10104020800,2,101,302616.0178,2774703.944
C7138756,10108300010,3,101,304961.1542,2774703.96
CG133095,10108240940,3,101,307254.4897,2774703.975
CC126727,10101170636,2,101,301538.6012,2774705.937
C7141362,10111222210,2,101,304997.4547,2774705.96
CH111438,10111031820,2,101,304966.6543,2774709.96
CG129383,10103170848,2,101,309889.3268,2774711.608
CG128178,10102172208,2,101,307767.3977,2774712.978
C7139080,10109201250,2,101,304938.8539,2774713.96
CG134035,10108221910,3,101,307765.4977,2774713.978
CG131006,10105021410,3,101,307766.6977,2774713.978
CG129264,10103311720,2,101,307763.8914,2774714.728
CG129379,10103151851,3,101,307763.8914,2774714.728
CC132056,10112172227,3,101,301364.2985,2774715.936
CC126149,10106012300,3,101,301565.0016,2774715.938
C7134876,10101052000,3,101,305113.5566,2774715.961
C7141135,10111100850,2,101,302903.0224,2774716.946
CG132304,10108121445,2,101,307767.3977,2774716.978
C7133512,10105260940,3,101,302899.8223,2774717.946
C7142553,10112221849,3,101,302904.5224,2774717.946
C7133322,10106171845,3,101,305154.3572,2774717.961
CG134174,10108271158,3,101,307754.9975,2774717.978
C7140893,10110231800,3,101,302894.3222,2774718.946
C7140082,10110311656,3,101,304932.3538,2774718.96
C7142163,10112231338,2,101,302900.0223,2774719.946
C7139605,10108311850,2,101,302902.7224,2774719.946
C7137720,10107170850,2,101,302902.8224,2774719.946
C7132898,10107261700,3,101,302903.9224,2774719.946
C7133441,10106142045,2,101,304937.5539,2774719.96
C7140774,10110192140,3,101,305109.1566,2774719.961
C7136434,10103072100,2,101,304938.5494,2774720.604
C7138892,10108111859,2,101,302906.6224,2774720.946
C7140129,10109211845,2,101,304932.4538,2774720.96
C7136270,10103051913,3,101,302899.2746,2774721.135
C7131352,10103232110,2,101,302899.2863,2774721.419
C7136257,10102221422,2,101,302902.0224,2774721.946
C7139353,10110181436,2,101,304941.354,2774721.96
C7133055,10109180730,3,101,304936.8539,2774722.96
C7136409,10102111420,2,101,304939.5539,2774722.96
C7142141,10112061550,3,101,302907.0225,2774723.946
C7142602,10112121240,2,101,302908.7225,2774723.946
C7141151,10111182110,2,101,304944.054,2774723.96
CG132183,10107300930,2,101,307756.9976,2774723.978
C7140099,10111102316,2,101,304941.554,2774725.96
C7137843,10110252105,3,101,302896.8223,2774726.946
C7137588,10109020653,2,101,304939.454,2774726.96
CG135048,10111130926,2,101,309477.3243,2774726.989
C7140398,10110210007,2,101,302905.3225,2774727.947
C7130985,10104241633,2,101,305077.0561,2774728.961
CG127944,10102082140,2,101,309475.3242,2774728.989
CG128260,10101170912,3,101,307451.2929,2774729.976
CG129368,10106302033,2,101,309476.2243,2774729.989
CG130672,10104041403,3,101,309926.5312,2774729.992
C7141720,10112130640,3,101,305071.456,2774730.961
CG128879,10103041850,3,101,309947.7647,2774732.462
CG134877,10111151205,2,101,307253.2898,2774732.975
CG130541,10104191156,2,101,309472.4242,2774732.989
CG127549,10101152305,3,101,309943.8315,2774733.993
CG131846,10106042026,3,101,309476.8243,2774734.989
CC132013,10112061843,3,101,302633.7183,2774735.945
CG129599,10102231500,3,101,307486.0935,2774735.977
CC129542,10106190725,3,101,301779.2051,2774737.939
CG132469,10108031801,3,101,309991.1323,2774737.993
CC127463,10102281406,3,101,301775.805,2774738.939
CC132988,10112151552,3,101,301780.3051,2774738.939
CC134616,10112152000,3,101,301781.1051,2774738.939
CC128729,10104161610,3,101,301775.305,2774739.939
CC128486,10104261705,3,101,301772.005,2774740.939
CC132061,10112191859,2,101,302829.2214,2774741.946
CC129619,10110022251,2,101,301773.305,2774742.939
CC130993,10105290817,2,101,301776.7051,2774742.939
CC129340,10108231437,3,101,301777.7051,2774743.939
CC134867,10112051247,3,101,301778.2051,2774743.939
C7140420,10110301930,2,101,306120.5724,2774743.968
CC126458,10103100940,3,101,302472.7159,2774744.444
C7131188,10103312220,2,101,306122.3266,2774744.819
C7136219,10101312123,2,101,306118.0723,2774745.968
C7139997,10110071028,2,101,306123.0724,2774746.968
CC130990,10108301744,2,101,301528.9013,2774747.938
C7131774,10104030840,2,101,306119.2724,2774747.968
C7138970,10108261240,3,101,306121.5724,2774748.968
C7136833,10103232142,2,101,305207.1645,2774749.462
C7142996,10112281455,3,101,305207.1645,2774749.462
C7140935,10111151957,2,101,305207.1645,2774749.462
